athlete,country
Steven H. MCCOOKE,Great Britain
William Harold NELSON,New Zealand
Andre PARIS,France
Gregorio ROJO SAGREDO,Spain
Evert HEINSTRÖM,Finland
Herman GOFFBERG,United States of America
Wilbur Marvin THOMPSON,United States of America
Francis James DELANEY,United States of America
Gösta ARVIDSSON,Sweden
Yrjö LEHTILÄ,Finland
Jaakko JOUPPILA-JASKA,Finland
Karel (Cestmir) KALINA,Czechoslovakia
John Alfred GILES,Great Britain
Sigfus SIGURDSSON,Iceland
Willy SENN,Switzerland
Eric E. COY,Canada
David GUINEY,Ireland
Vilhjalmur VILMUNDARSSON,Iceland
Roger VERHAS,Belgium
Harold Ernest A. MOODY,Great Britain
Leo J. ROININEN,Canada
Gaston GODEL,Switzerland
Terence Lloyd JOHNSON,Great Britain
Harold Albert MARTINEAU,Great Britain
Rune BJURSTRÖM,Sweden
Pierre MAZILLE,France
Enrique VILLAPLANA VARGAS,Spain
Tage JÖNSSON,Sweden
Henri E. CARON,France
George William Ernest CROSBIE,United States of America
Francesco PRETTI,Italy
Per Olav BAARNAAS,Norway
Valentino BERTOLINI,Italy
Sixto IBANEZ,Argentina
Owen Guinn SMITH,United States of America
Albert Richmond MORCOM,United States of America
Hugo GÖLLORS,Sweden
Victor SILLON,France
Allan LINDBERG,Sweden
John WINTER,Australia
Bjorn Andreas PAULSON,Norway
George Anthony STANICH,United States of America
Arthur M. JACKES,Canada
Alfredo JADRESIC VARGAS,Chile
Pierre LACAZE,France
Lloyd VALBERG,Singapore
Verne Voorhees Jr. MCGREW,United States of America
Kuuno Ola HONKONEN,Finland
S. GURNAM SINGH,India
Ruhi SARIALP,Turkey
Karl Johan Valdemar RAUTIO,Finland
Ake HALLGREN,Sweden
William Everett ALBANS,United States of America
Helio COUTINHO DA SILVA,Brazil
Lennart MOBERG,Sweden
Noemi SIMONETTO DE PORTELA,Argentina
Ann-Britt LEYMAN,Sweden
Gerda Johanna Marie VAN DER KADE-KOUDIJS,Netherlands
Neeltje Jannetje KARELSE,Netherlands
Kathleen May RUSSELL,Jamaica
Kaj Tapio RAUTAVAARA,Finland
Stephen Andrew SEYMOUR,United States of America
Jozsef VARSZEGI,Hungary
Pauli VESTERINEN,Finland
Odd MAEHLUM,Norway
Martin Broomall BILES,United States of America
Marko VUJACIC,Yugoslavia
Gunnar PETTERSSON,Sweden
Ladislav (Lubomir) KIESEWETTER,Czechoslovakia
Martti HUHTALA,Finland
Sven ISRAELSSON,Sweden
Niklaus STUMP,Switzerland
Olavi SIHVONEN,Finland
Eilert DAHL,Norway
Pauli SALONEN,Finland
Olav DUFSETH,Norway
Klas HARALDSSON,Sweden
Olav ODDEN,Norway
Rizzieri RODIGHIERO,Italy
Josef GSTREIN,Austria
René JEANDEL,France
Karl MARTITSCH,Austria
Hubert HAMMERSCHMIED,Austria
Tone RAZINGER,Yugoslavia
Corey ENGEN,United States of America
Don JOHNSON,United States of America
Alberto TASSOTTI,Italy
Gordon WREN,United States of America
Walter JEANDEL,France
Jaroslav KADAVY,Czechoslovakia
Bohumil KOSOUR,Czechoslovakia
Ralph Joseph TOWNSEND,United States of America
Jaroslav LUKES,Czechoslovakia
Frantisek SIMUNEK,Czechoslovakia
Wilber IRWIN,Canada
Nikola DELEV,Bulgaria
Paul HASLWANTER,Austria
Nino BIBBIA,Italy
John HEATON,United States of America
John CRAMMOND,Great Britain
William MARTIN,United States of America
Gottfried KAGI,Switzerland
Richard BOTT,Great Britain
James COATES,Great Britain
Fairchilds MACCARTHY,United States of America
Thomas CLARKE,Great Britain
Milo BIGLER,Switzerland
Dialma BASEGLIA,Switzerland
Christian FISCHBACHER,Switzerland
Hugo Artur KURANDA,Austria
Gretchen FRASER,United States of America
Antoinette MEYER,Switzerland
Georgette MILLER,France
Renée CLERC,Switzerland
Anneliese SCHUH-PROXAUF,Austria
Resi HAMMERER,Austria
Brynhilde GRASMOEN,United States of America
May NILSSON,Sweden
Paula KANN,United States of America
Françoise GIGNOUX,France
Rosmarie BLEUER,Switzerland
Laila SCHOU-NILSEN,Norway
Alexandra NEKVAPILOVA,Czechoslovakia
Renata CARRARETTO,Italy
Bozena MOSEROVA,Czechoslovakia
Lucienne SCHMIDT,France
Anika IGLOI,Hungary
Isabel ROE,Great Britain
Suzanne THIOLLIERE,France
Annelore ZÜCKERT,Austria
Rhona WURTELE,Canada
Hedy SCHLUNEGGER,Switzerland
Lina MITTNER,Switzerland
Irène MOLITOR,Switzerland
Ruth-Marie STEWART,United States of America
Fernande BAYETTO,France
Rebecca CREMER,United States of America
Sophie NOGLER,Austria
Micheline DESMAZIERES,France
Rosemarie SPARROW,Great Britain
Xanthe RYDER,Great Britain
Karl MOLITOR,Switzerland
Edi MALL,Austria
Hans HANSSON,Sweden
Vittorio CHIERRONI,Italy
Hans NOGLER,Austria
Antonin SPONAR,Czechoslovakia
Edi REINALTER,Switzerland
Eberhard KNEISL,Austria
Engelbert HAIDER,Austria
Adolf ODERMATT,Switzerland
Björn ARENTZ,Norway
Georges PANISSET,France
Marius ERIKSEN,Norway
Harvey CLIFFORD,Canada
Hector SUTHERLAND,Canada
Claude PENZ,France
Steve KNOWLTON,United States of America
Barney Robert MCLEAN,United States of America
Peter SZIKLA,Hungary
Daniel SLACHTA,Czechoslovakia
Slavko LUKANC,Yugoslavia
Thomas SZEKELY,Hungary
Matevz LUKANC,Yugoslavia
Hernan OELKERS,Chile
Ioan COLIBAN,Romania
David MADJAR,Bulgaria
Donald GARROW,Great Britain
Karoly KÖVARY,Hungary
Magnus BRYNJOLFSSON,Iceland
Albert IRWIN,Canada
Joze BERTONCELJ,Yugoslavia
Vasile IONESCU,Romania
José ARIAS-CORALLON,Spain
Thomas MORAWITZ,Spain
Harold TAYLOR,Great Britain
Max GASSNER,Liechtenstein
Thorir JONSSON,Iceland
Lajos MATE,Hungary
Jerzy SCHINDLER,Poland
James Algernon PALMER-TOMKINSON,Great Britain
Gonzalo DOMINGUEZ,Chile
Dursun BOZKURT,Turkey
Fernando ARMINAN-LAUFFEN,Spain
Aimo VARTIAINEN,Finland
Désiré LACROIX,France
Sasa MOLNAR,Yugoslavia
Colin Campbell STEWART,United States of America
Jan APPLEYARD,Great Britain
Rasit TOLUN,Turkey
Zdenek PARMA,Czechoslovakia
Karl GAMMA,Switzerland
Jan LIPOWSKI,Poland
György LIBIK,Hungary
Franz GABL,Austria
Rolf OLINGER,Switzerland
Sverre LASSEN-URDAHL,Norway
Romedi SPADA,Switzerland
Eugenio BONICCO,Italy
Jean PAZZI,France
Richard MOVITZ,United States of America
Devereaux JENNINGS,United States of America
Justo DEL CARRILL,Argentina
Ciril PRACEK,Yugoslavia
Julio Cesar CERNUDA,Argentina
Alfred STÄGER,Switzerland
Jan PAWLICA,Poland
Peter BOUMPHREY,Great Britain
Hans GERSCHWILER,Switzerland
Edi RADA,Austria
Ede KIRALY,Hungary
Henry Graham SHARP,Great Britain
Hellmuth MAY,Austria
Ladislav CAP,Czechoslovakia
Fernand LEEMANS,Belgium
Wallace DIESTELMEYER,Canada
Zdenek FIKAR,Czechoslovakia
Karl ENDERLIN,Switzerland
Barbara Ann SCOTT,Canada
Eva PAWLIK,Austria
Jirina NEKOLOVA,Czechoslovakia
Alena VRZANOVA,Czechoslovakia
Yvonne SHERMAN,United States of America
Bridget Shirley ADAMS,Great Britain
Gretchen MERRILL,United States of America
Martha BACHEM,Austria
Marion Tiefy DAVIES,Great Britain
Eileen SEIGH,United States of America
Marilyn TAKE,Canada
Dagmar LERCHOVA,Czechoslovakia
Maya HUG,Switzerland
Marie SAARY,Hungary
Hildegarde APPELTAUER,Austria
Ingeborg SOLAR,Austria
Eva LINDNER,Hungary
Marit HENIE,Norway
Lotti HÖNER,Switzerland
Grazia BARCELLONA,Italy
Doris BLANC,Switzerland
Micheline LANNOY,Belgium
Pierre BAUGNIET,Belgium
Robert SWENNING,United States of America
Winifred Ethel SILVERTHORNE,Great Britain
Dennis Alf SILVERTHORNE,Great Britain
Herta RATZENHOFER,Austria
Emil RATZENHOFER,Austria
Margot WALLE,Norway
Allan FJELDHEIM,Norway
Susanne GIEBISCH,Austria
Luni UNOLD,Switzerland
Hans KUSTER,Switzerland
Denise FAVART,France
Jacques FAVART,France
Blazena KNITTLOVA,Czechoslovakia
Karel VOSATKA,Czechoslovakia
Paul Hans EBERHARD,Switzerland
Max HOUBEN,Belgium
Jacques MOUVET,Belgium
William COLES,Great Britain
William Raymond COLLINGS,Great Britain
Mario VITALI,Italy
Dario POGGI,Italy
Ivar JOHANSEN,Norway
Edliberto CAMPADESE,Italy
Tuffield LATOUR,United States of America
Leo MARTIN,United States of America
Louis-Georges NIELS,Belgium
Henri Achille FOULD,France
Henri J. EVROT,France
Bjarne William SCHRÖN,Norway
Gunnar THORESEN,Norway
Max H. IPPEN,Czechoslovakia
Jiri Eduard NOVOTNY,Czechoslovakia
Marcello DE RIDDER,Argentina
C. Anthony GADD,Great Britain
Basil WELLICOME,Great Britain
Petter HUGSTED,Norway
Birger RUUD,Norway
Thorleif SCHJELDERUP,Norway
Matti PIETIKÄINEN,Finland
Leo LAAKSO,Finland
Asbjörn RUUD,Norway
Aatto PIETIKÄINEN,Finland
Fritz TSCHANNEN,Switzerland
Hans ZURBRIGGEN,Switzerland
Evert KARLSSON,Sweden
Sverre FREDHEIM,United States of America
Wilhelm HELLMAN,Sweden
Paul Joseph PERRAULT,United States of America
Miroslav BELONOZNIK,Czechoslovakia
Bruno DA COL,Italy
Zdenek REMZA,Czechoslovakia
Arsène LUCCHINI,France
Gregor HÖLL,Austria
Regis CHARLET,France
Anton WIESER,Austria
Josef CISAR,Czechoslovakia
Jean MONNIER,France
Jan KULA,Poland
Ferenz HEMRIK,Hungary
Helmut HADWIGER,Austria
Jonas ASGEIRSSON,Iceland
Aldo TRIVELLA,Italy
Nils LUNDH,Sweden
Walter Isaac BIETILA,United States of America
Janko MEZIK,Yugoslavia
Tormod MOBRAATEN,Canada
Igino RIZZI,Italy
Laurent BERNIER,Canada
Erkki RAJALA,Finland
Erik LINDSTRÖM,Sweden
Pál VÁNYA,Hungary
Harald ERIKSSON,Sweden
Benjamin VANNINEN,Finland
Pekka VANNINEN,Finland
Edy SCHILD,Switzerland
Kristian BJÖRN,Norway
Martin JAERE,Norway
Joze KNIFIC,Yugoslavia
Franc SMOLEJ,Yugoslavia
Max MÜLLER,Switzerland
Silvio CONFORTOLA,Italy
Louis BOURBAN,Switzerland
Jaroslav ZAJICEK,Czechoslovakia
Vit (senior) FOUSEK,Czechoslovakia
Victor BORGHI,Italy
Thorleif VANGEN,Norway
Stefano SOMMARIVA,Italy
Leif HAUGEN,Norway
Tom DENNIE,Canada
Martti SIPILÄ,Finland
Hans JAMNIG,Austria
Martin LUNDSTRÖM,Sweden
Nils ÖSTENSSON,Sweden
Sauli RYTKY,Finland
Teuvo LAUKKANEN,Finland
Olav I. HAGEN,Norway
Eero RAUTIOLA,Finland
Erling EVENSEN,Norway
Reidar NYBORG,Norway
Robert ZURBRIGGEN,Switzerland
Marius MORA,France
Engelbert HUNDERTPFUND,Austria
André BUFFARD,France
Josef DEUTSCHMANN,Austria
Paul BOUVERET,France
Arcangelo CHIOCCHETTI,Italy
Vincenzo PERRUCHON,Italy
Anton POGACNIK,Yugoslavia
Imre BETAK,Hungary
Alojz KLANCNIK,Yugoslavia
Christof FROMMELT,Liechtenstein
Egon MATT,Liechtenstein
Erwin JEHLE,Liechtenstein
Georgi DOYKOV,Bulgaria
Thomas BYBERG,Norway
Sverre FARSTAD,Norway
Torodd HAUER,Norway
Delbert Thomas LAMB,United States of America
Harald JANEMAR,Sweden
Ake SEYFFARTH,Sweden
Keijo LEHDIKKÖ,Finland
Janos KILIAN,Hungary
Antero OJALA,Finland
Abraham HARDY,Canada
Young Chin CHOI,Republic of Korea
Kornel PAJOR,Hungary
Hyo Chang LEE,Republic of Korea
Aage JUSTESEN,Denmark
Jan LANGEDIJK,Netherlands
Bruce PEPPIN,Great Britain
Dennis BLUNDELL,Great Britain
Akos ELEFKY,Hungary
Henry James HOWES,Great Britain
Giorgio CATTANEO,Italy
Ivan RUTTKAY,Hungary
Gustav SLANEC,Austria
Rudolf KLEINER,Switzerland
Ferdinand PREINDL,Austria
Odd LUNDBERG,Norway
Gustav Harry JANSSON,Sweden
Rune HAMMARSTRÖM,Sweden
Max STIEPL,Austria
Louis RUPPRECHT,United States of America
Arthur Francis SEAMAN,United States of America
Richard SOLEM,United States of America
Reidar LIAKLEV,Norway
Henry WAHL,Norway
Gunnar KONSMO,Norway
Raymond Edward BLUM,United States of America
Hans Peter VOGT,Switzerland
Chung Kook LEE,Republic of Korea
Gedeon LADANJI,Hungary
Thomas ROSS,Great Britain
Sepp ROGGER,Switzerland
Henry HEBBE,Norway
Heinz HÜGELSHOFER,Switzerland
Fernando ALLONI,Italy
Alfred ALTENBURGER,Switzerland
Charles MATHISEN,Norway
Ludwig STUBBENDORF,Germany
Hans Matthiesen LUNDING,Denmark
Johan Carl Wilhelm Vincens GRANDJEAN,Denmark
Agoston ENDRÖDY,Hungary
Rudolf LIPPERT,Germany
Alec SCOTT,Great Britain
Marius MYLIUS,Switzerland
Carl-Adam STJERNSWÄRD,Sweden
Takeichi NISHI,Japan
Eduard (Eddy) KAHN,Netherlands
Karl NEUMEISTER,Austria
Henryk ROYCEWICZ,Poland
Carl William Albert RAGUSE,United States of America
Zdzislaw KAWECKI,Poland
Edward Dacre HOWARD-VYSE,Great Britain
Vaclav PROCHAZKA,Czechoslovakia
Seweryn KULESZA,Poland
Josef DOBES,Czechoslovakia
Konrad VON WANGENHEIM,Germany
Richard Gennys FANSHAWE,Great Britain
Otomar BURES,Czechoslovakia
Herbert ZIEGLER,Austria
Georges MARGOT,France
Pierre-Henri PERNOT DU BREUIL,France
Dino FERRUZZI,Italy
Istvan VISY,Hungary
Petre KIRCULESCU,Romania
Gustaf NYBLAEUS,Sweden
John Murphy WILLEMS,United States of America
Todor SEMOV,Bulgaria
Niels Erik LESCHLY,Denmark
Werner WALLDEN,Finland
Amaury DE LA MOUSSAYE,France
Ranieri DI CAMPELLO,Italy
Giuseppe CHIANTIA,Italy
Manabu IWAHASHI,Japan
Asanosuke MATSUI,Japan
Charles Ferdinand PAHUD DE MORTANGES,Netherlands
Christiaan TONNET,Netherlands
Constantin ZAHEI,Romania
Pierre MANGE,Switzerland
Sadettin EROKAY,Turkey
Saim POLATKAN,Turkey
Trebisonda VALLA,Italy
Anni STEUER,Germany
Claudia TESTONI,Italy
Catharina Elizabeth TER BRAAKE,Netherlands
Doris ECKERT,Germany
Raquel MARTINEZ,Chile
John LOVELOCK,New Zealand
Glenn CUNNINGHAM,United States of America
Luigi BECCALI,Italy
Archibald J. SAN ROMANI,United States of America
John CORNES,Great Britain
Robert GOIX,France
Eugene George VENZKE,United States of America
Friedrich (Fritz) SCHAUMBURG,Germany
Eric NY,Sweden
Werner BÖTTCHER,Germany
Stavros VELKOPOULOS,Greece
Raunak SINGH GILL,India
Kumao AOCHI,Japan
Toshitaka TOMIE,Japan
Vernon Patrick BOOT,New Zealand
Carlos MARCENARO,Peru
Hans WOELLKE,Germany
Sulo BÄRLUND,Finland
Gerhard STÖCK,Germany
Samuel Harrison FRANCIS,United States of America
Johan TORRANCE,United States of America
Dmitri Nickitovitch ZAITZ,United States of America
Frantisek DOUDA,Czechoslovakia
Arnold VIIDING,Estonia
Gunnar BERGH,Sweden
Hans-Heinrich SIEVERT,Germany
Aleksa KOVACEVIC,Yugoslavia
Jozsef DARANYI,Hungary
Risto KUNTSI,Finland
Istvan HORVATH,Hungary
Karel HOPLICEK,Czechoslovakia
Johann WOTAPEK,Austria
Felix ERAUZQUIN ERAUZQUIN,Spain
Kristjan VATTNES,Iceland
Eiichiro MATSUNO,Japan
Zygmunt HELJASZ,Poland
Harold ANDERSSON,Sweden
Ake HEDVALL,Sweden
Glenn Edward MORRIS,United States of America
Robert Hyatt CLARK,United States of America
John Jack PARKER,United States of America
Erwin HUBER,Germany
Armin GUHL,Switzerland
Olle BEXELL,Sweden
Helmuth BONNET,Germany
Jerzy PLAWCZYK,Poland
Edvard NATVIG,Norway
Ilmari Jaakko REINIKKA,Finland
Peter BACSALMASI,Hungary
Fritz DÄLLENBACH,Switzerland
Osvaldo WENZEL,Chile
Josef KLEIN,Czechoslovakia
Maurice BOULANGER,Belgium
Leif DAHLGREN,Sweden
Zoltan CSANYI,Hungary
Willy BÜHRER,Switzerland
Franz STERZL,Austria
Emile BINET,Belgium
Martti Lee TOPELIUS,Finland
Akiles Eero Johannes JÄRVINEN,Finland
Janis DIMSA,Latvia
Erwin REIMER,Chile
Mathilde (Tilly) FLEISCHER,Germany
Luise KRÜGER,Germany
Marja Jadwiga KWASNIEWSKA-MALESZEWSKA,Poland
Sadako YAMAMOTO,Japan
Lydia EBERHARDT,Germany
Gertrude F. WILHELMSEN,United States of America
Clasina Gerda DE KOCK,Netherlands
Martha Virginia WORST,United States of America
Irja Salli Maria LIPASTI,Finland
Jeanne VAN KESTEREN,Belgium
Jelena STANOJEVIC,Yugoslavia
Elizabeth L. BURCH,United States of America
Gunnar HÖCKERT,Finland
Lauri Aleksanteri LEHTINEN,Finland
Henry JONSSON-KÄLARNE,Sweden
Kohei MURAKOSO,Japan
Jozef NOJI,Poland
Ilmari SALMINEN,Finland
Umberto CERATI,Italy
Louis Silvie ZAMPERINI,United States of America
Rolf HANSEN,Norway
Harry Johan Carl SIEFERT,Denmark
Peter Hans Dudley WARD,Great Britain
Frank CLOSE,Great Britain
Bror HELLSTRÖM,Sweden
Luis OLIVA,Argentina
Ladislaus SIMACEK,Austria
Emilio TORRES,Colombia
Bruno BETTI,Italy
Jesse OWENS,United States of America
Matthew Mackenzie ROBINSON,United States of America
Martinus OSENDARP,Netherlands
Paul HÄNNI,Switzerland
Lee Pearce ORR,Canada
Wijnand VAN BEVEREN,Netherlands
Elias GUTIERREZ CAMPO,Colombia
Jose Domingo SANCHEZ,Colombia
Cyril Butler HOLMES,Great Britain
Gianni CALDANA,Italy
Bunta SUZUKI,Japan
Antonio CUBA,Peru
Lennart STRANDBERG,Sweden
Julije BAUER,Yugoslavia
Earle Elmer MEADOWS,United States of America
Shuhei NISHIDA,Japan
Sueo OE,Japan
William Healy SEFTON,United States of America
William Noe GRABER,United States of America
Kiyoshi ADACHI,Japan
Charles J.Sylvanus APPS,Canada
Josef HAUNZWICKEL,Austria
Danilo INNOCENTI,Italy
Jan KOREIS,Czechoslovakia
Bo LJUNGBERG,Sweden
Alfred PROKSCH,Austria
Wilhelm SCHNEIDER,Poland
Frederick Richard WEBSTER,Great Britain
Viktor ZSUFFKA,Hungary
Andries Stephanus DU PLESSIS,South Africa
Martin Ernst LARSEN,Denmark
Julius MÜLLER,Germany
Miroslav KLASEK,Czechoslovakia
Bao-Loo FU,China
Pierre RAMADIER,France
Siegfried SCHULZ,Germany
Adolfo SCHLEGEL,Chile
Andre CREPIN,France
Ibolya CSAK,Hungary
Elfriede KAUN,Germany
Dora RATJEN,Germany
Marguerite NICOLAS,France
Annette Joan ROGERS,United States of America
Doris Jessie CARTER,Australia
Alice Jean ARDEN,United States of America
Kathlyn KELLY,United States of America
Margaret Mary BELL-GIBSON,Canada
Wanda NOWAK,Austria
Helen (Nellie) CARRINGTON,Great Britain
Jantina Maria KOOPMANS,Netherlands
Junko NISHIDA,Japan
Kitei SON,Japan
Ernest HARPER,Great Britain
Shoryu NAN,Japan
Erkki Jaakko TAMILA,Finland
Väinö MUINONEN,Finland
Donald Mcnab ROBERTSON,Great Britain
Henry Alfred GIBSON,South Africa
Mauno Asarias TARKIAINEN,Finland
Thore ENOCHSSON,Sweden
Nouba KHALEB,France
Henry PALME,Sweden
Franz TUSCHEK,Austria
François DUVAL,France
Manuel DIAS,Portugal
Miloslav LUNAK,Czechoslovakia
Felix MEEKENS,Belgium
Jan TAKAC,Czechoslovakia
Rudolf WÖBER,Austria
Ludovic GALL,Romania
Robert NEVENS,Belgium
Thomas Forcer LALANDE,South Africa
Arturs MOTTMILLERS,Latvia
Eduard BRASECKE,Germany
Percival WYER,Canada
Wilhelm ROTHMAYER,Austria
Bronislaw GANCARZ,Poland
Max BEER,Switzerland
Guillermo SUAREZ,Peru
Boris HARALAMPIEV,Bulgaria
Arul C.S. SWAMI,India
Josef SULC,Czechoslovakia
Franz EHA,Switzerland
Stane SPORN,Yugoslavia
José FARIAS RIOS,Peru
Franz BARSICKE,Germany
Giannino BULZONE,Italy
Paul DE BRUYN,Germany
Kazimierz FIALKA,Poland
Aurelio GENGHINI,Italy
Jaime MENDES,Portugal
Tamao SHIWAKU,Japan
Harold WEBSTER,Canada
Juan Carlos ZABALA,Argentina
John Youie WOODRUFF,United States of America
Mario LANZI,Italy
Kazimierz KUCHARSKI,Poland
Harry Webb WILLIAMSON,United States of America
Juan Carlos ANDERSON,Argentina
Brian Farmer MCCABE,Great Britain
Miguel ROBLES CASTRO,Chile
Luis PRATMARSO PARERA,Spain
Ossian (Ossi) Hans TEILERI,Finland
Rene MOREL,France
Fransisc NEMES,Romania
Forrest Grady TOWNS,United States of America
Donald FINLAY,Great Britain
Frederick Douglas Jr. POLLARD,United States of America
John St.Leger THORNTON,Great Britain
Nino RAMIREZ,Philippines
Ivo BURATOVIC,Yugoslavia
Cornelius Cooper JOHNSON,United States of America
David Donald ALBRITTON,United States of America
Delos Packard THURBER,United States of America
Kalevi KOTKAS,Finland
Kimio YATA,Japan
Lauri Fredrik Mikael KALIMA,Finland
Gustav WEINKÖTZ,Germany
Yoshiro ASAKUMA,Japan
Aksel KUUSE,Estonia
Günther GEHMERT,Germany
John Patrick METCALFE,Australia
Joseph Prennan HALEY,Canada
Poul Emil OTTO,Denmark
Veikko Tuomas PERÄSALO,Finland
Mihaly BODOSI,Hungary
Simeon Galvez TORIBIO,Philippines
Edwin Thomas THACKER,South Africa
Rudolf EGGENBERG,Switzerland
Ake ÖDMARK,Sweden
Helen Herring STEPHENS,United States of America
Stanislawa WALASIEWICZ,Poland
Käthe KRAUSS,Germany
Marie DÖLLINGER,Germany
Emmy ALBUS,Germany
Arvo ASKOLA,Finland
Volmari ISO-HOLLO,Finland
James Alexander BURNS,Great Britain
Max GEBHARDT,Germany
Odd RASDAL,Norway
Giuseppe BEVIACQUA,Italy
Janos KELEN,Hungary
Henning SUNDESSON,Sweden
Eino Isak Walter PENTTI,United States of America
Ludvik BOMBIK,Czechoslovakia
Lucien TOSTAIN,France
André SICARD,France
André LONLAS,France
Walter SCHÖNROCK,Germany
Josef SIEGERS,Germany
Pierre BAJART,Belgium
Robert Scade RANKINE,Canada
Milton WALLACE,Canada
William Edward EATON,Great Britain
Stanley Joseph WUDYKA,United States of America
Fusahige SUZUKI,Japan
John Henry POTTS,Great Britain
Valentin GONZALES AVILA,Mexico
Cecil Henry MATTHEWS,New Zealand
Erik PETTERSSON,Sweden
Gisela MAUERMAYER,Germany
Paula MOLLENHAUER,Germany
Hide MINESHIMA,Japan
Birgit LUNDSTRÖM,Sweden
Margarete HELD,Austria
Marketa SCHIEFEROVA,Czechoslovakia
Veronika KOHLBACH,Austria
Fumi KOJIMA,Japan
Vera NEFEROVIC,Yugoslavia
Evelyn Lucy FERRARA,United States of America
Anna (Anne) HAGEMANN,Germany
William Kenneth CARPENTER,United States of America
Gordon Glover DUNN,United States of America
Giorgio OBERWEGER,Italy
Reidar SÖRLIE,Norway
Willy SCHRÖDER,Germany
Helge SIVERTSEN,Norway
Hans FRITSCH,Germany
Jules NOEL,France
Walter Donogan WOOD,United States of America
Archibald Franklin WILLIAMS,United States of America
Arthur Godfrey Kilner BROWN,Great Britain
William ROBERTS,Great Britain
William Duncan FRITZ,Canada
John Wilfred LOARING,Canada
Karl HEIN,Germany
Erwin BLASK,Germany
Alfred WARNGARD,Sweden
Gustaf Alfons KOUTONEN,Finland
William John Alfred ROWE,United States of America
Donald Emerson FAVOR,United States of America
Bernhard GREULICH,Germany
Koit ANNAMAA,Estonia
Sulo HEINO,Finland
Frans Wilhelmi PÖRHÖLÄ,Finland
Gunnar JANSSON,Sweden
Isao ABE,Japan
Evert LINNE,Sweden
Giovanni CANTAGALLI,Italy
Joseph WIRTZ,France
Antonio BARTICEVIC,Chile
Glenn Foster HARDIN,United States of America
Miguel S. WHITE,Philippines
Joseph Hester PATTERSON,United States of America
Sylvio DE MAGALHAES PADILHA,Brazil
Svend Aage THOMSEN,Denmark
Ralph METCALFE,United States of America
Frank Clifford WYKOFF,United States of America
Erich BORCHMEYER,Germany
Pascual GUTIERREZ MAZA,Mexico
Irvin TERNSTROM,Sweden
Carl Ludwig Luz LONG,Germany
Naoto TAJIMA,Japan
Wilhelm LEICHUM,Germany
Arturo MAFFEI,Italy
John William BROOKS,United States of America
Robert PAUL,France
Arthur BÄUMLE,Germany
Otto BERG,Norway
Ake STENQVIST,Sweden
Josef VOSOLOBE,Czechoslovakia
Samuel RICHARDSON,Canada
Marcio CASTELLAR DE OLIVEIRA,Brazil
Kaneyuki TOGAMI,Japan
Pedro DEL VECCHIO,Colombia
Kaarlo Jalmari TUOMINEN,Finland
Alfred DOMPERT,Germany
Martti MATILAINEN,Finland
Harold William MANNING,United States of America
Lars LARSSON,Sweden
Glen Wilson DAWSON,United States of America
Wilhelm (Willi) HEYN,Germany
Joseph Paul MCCLUSKEY,United States of America
Roger REROLLE,France
Ferdinand FRIEBE,Austria
René GEERAERT,Belgium
Masao HARADA,Japan
Heinz WÖLLNER,Germany
Roland Lee ROMERO,United States of America
Kenkichi OSHIMA,Japan
Erich JOCH,Germany
Dudley Griffin WILKINS,United States of America
Olavi Akseli SUOMELA,Finland
Edward LUCKHAUS,Poland
Lajos SOMLO,Hungary
Onni Rafael RAJASAARI,Finland
Karl Eugen HAUGLAND,Norway
Maarten KLASEMA,Netherlands
John Basil DICKINSON,Australia
Lennart ANDERSSON-AGNRED,Sweden
Jovan MIKIC,Yugoslavia
Karl KOTRATSCHEK,Austria
Arthur SCHWAB,Switzerland
Adalberts BUBENKO,Latvia
